id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6283,Moody,Moses,12.99,GSW,SG/SF,@ OKC,15.00,6.94,1.05,2.35,1.03,0.34,0.23,0.54,1.38,1.03,0.33,2.43,2.93,0.00,0.000,,
5649,Kleber,Maxi,12.71,DAL,PF/C,@ DEN,21.00,4.81,0.96,3.38,1.14,0.29,0.56,0.69,0.74,0.45,0.20,1.70,2.32,0.00,0.000,Questionable,
5235,Niang,Georges,12.26,CLE,PF,@ IND,17.00,7.12,1.70,1.82,0.68,0.27,0.15,0.51,0.70,0.62,0.11,2.40,3.09,0.00,0.000,,
5488,Bryant,Thomas,11.93,MIA,C,WAS,13.00,6.15,0.29,3.42,0.46,0.19,0.40,0.54,2.18,0.92,0.35,2.47,1.88,0.00,0.000,,
6180,Nnaji,Zeke,11.90,DEN,PF/C,DAL,14.00,5.67,0.61,3.04,0.47,0.38,0.39,0.52,1.53,0.78,0.49,2.14,2.13,0.00,0.000,,
5699,Carter,Jevon,11.89,CHI,PG/SG,BKN,14.00,5.69,1.28,1.44,1.67,0.41,0.18,0.54,0.74,0.37,0.08,2.02,2.65,0.00,0.000,,
6595,Gilyard,Jacob,11.88,MEM,PG,@ POR,14.00,3.69,0.73,1.06,3.77,0.57,0.08,0.71,0.53,0.44,0.10,1.26,1.97,0.00,0.000,,
6150,Okoro,Isaac,11.73,CLE,SG/SF,@ IND,20.00,5.33,0.72,1.80,1.15,0.59,0.30,0.44,1.07,1.03,0.31,1.79,2.14,0.00,0.000,,
5856,Williams,Kenrich,11.18,OKC,SF/PF,GSW,14.00,4.18,0.51,2.85,1.29,0.52,0.19,0.50,1.19,0.27,0.27,1.70,1.93,0.00,0.000,Questionable,
6509,Dieng,Ousmane,10.40,OKC,SF/PF,GSW,16.00,5.12,0.81,2.45,0.81,0.46,0.19,0.82,1.19,0.31,0.14,2.00,3.10,0.00,0.000,,
6508,Davis,Johnny,10.35,WAS,SG/SF,@ MIA,13.00,5.30,0.69,2.03,0.92,0.37,0.25,0.66,1.32,0.59,0.31,2.01,3.11,0.00,0.000,,
5907,Wade,Dean,9.38,CLE,SF/PF,@ IND,14.00,3.57,0.81,2.18,0.60,0.39,0.27,0.25,0.44,0.26,0.13,1.25,1.73,0.00,0.000,,
6561,Walker,Jabari,9.31,POR,SF/PF,MEM,13.00,4.24,0.39,2.65,0.66,0.32,0.29,0.66,1.17,0.73,0.22,1.56,2.03,0.00,0.000,,
6329,Sharpe,Day'Ron,9.07,BKN,C,@ CHI,9.00,3.82,0.06,3.08,0.54,0.25,0.43,0.68,1.56,0.52,0.33,1.62,1.16,0.00,0.000,,
3945,Powell,Dwight,8.99,DAL,C,@ DEN,13.00,4.58,0.03,2.38,0.62,0.40,0.21,0.62,1.75,0.99,0.54,1.78,0.85,0.00,0.000,,
5456,Smith Jr.,Dennis,8.97,BKN,PG/SG,@ CHI,11.00,3.59,0.20,1.28,1.98,0.49,0.18,0.67,1.16,0.67,0.28,1.36,1.77,0.00,0.000,Questionable,
6520,Beauchamp,MarJon,7.90,MIL,SG/SF,NYK,11.00,3.52,0.62,2.07,0.80,0.32,0.16,0.68,0.69,0.28,0.11,1.31,2.03,0.00,0.000,,
6339,Wiggins,Aaron,7.31,OKC,SG/SF,GSW,11.00,3.58,0.36,1.72,0.46,0.36,0.14,0.44,1.01,0.48,0.11,1.37,1.57,0.00,0.000,,
5723,Walker,Lonnie,6.45,BKN,SG/SF,@ CHI,9.00,4.17,0.59,0.79,0.44,0.18,0.08,0.35,0.91,0.58,0.11,1.50,1.85,0.00,0.000,,
6321,Dosunmu,Ayo,6.23,CHI,SG,BKN,9.00,3.12,0.32,0.86,0.89,0.28,0.10,0.36,0.91,0.34,0.09,1.23,1.28,0.00,0.000,,
5713,Shamet,Landry,5.84,WAS,PG/SG,@ MIA,8.00,3.12,0.65,0.76,0.73,0.18,0.06,0.33,0.42,0.33,0.06,1.07,1.66,0.00,0.000,,
6764,Jaquez Jr.,Jaime,5.72,MIA,SF,WAS,8.00,2.90,0.28,1.19,0.46,0.25,0.11,0.33,0.86,0.34,0.12,1.14,1.41,0.00,0.000,,
6760,Strawther,Julian,5.23,DEN,SF,DAL,8.00,2.86,0.48,1.25,0.36,0.16,0.07,0.42,0.53,0.36,0.13,1.01,1.46,0.00,0.000,,
6586,Williams,Vince,0.00,MEM,SG,@ POR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6583,Green,AJ,0.00,MIL,PG/SG,NYK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6758,Murray,Kris,0.00,POR,SF/PF,MEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6151,Hampton,R.J.,0.00,MIA,PG/SG,WAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6287,Garuba,Usman,0.00,GSW,PF/C,@ OKC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6537,Rollins,Ryan,0.00,WAS,PG,@ MIA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6729,Henderson,Scoot,0.00,POR,PG,MEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Doubtful,
5275,Arcidiacono,Ryan,0.00,NYK,PG,@ MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
